,Returns,Volatility,Beta,Sharpe_Ratio,PE
CBOE,0.183886809,0.248482844,0.642391,0.74003825,26.008783
CBRE,0.173774602,0.351272538,1.501086,0.49470022,38.723404
CDW,0.313749836,0.287135177,1.107608,1.092690345,30.98175
CE,0.187505528,0.334256268,1.214363,0.560963388,7.057474
CNC,0.298460446,0.381222901,0.469021,0.782902721,16.386435
CNP,0.107024485,0.258763822,0.984221,0.413599103,23.44383
CERN,0.155973081,0.261913854,,0.595512911,
CF,0.139773552,0.39827288,1.264961,0.350949208,25.37594
CRL,0.239958495,0.298160956,1.138737,0.804795161,55.258015
SCHW,0.178826487,0.326178458,1.055495,0.548247387,28.359766
CHTR,0.32410695,0.284550776,0.982065,1.139012708,42.053352
CVX,0.070389373,0.278136213,1.31936,0.253075185,
CMG,0.249392303,0.351543958,1.352173,0.709419967,130.56613
CB,0.139482593,0.226478174,0.711643,0.615876536,13.700877
CHD,0.198341483,0.200350545,0.376086,0.989972263,28.110392
CI,0.217764388,0.294237206,0.904891,0.740098068,9.863326
CINF,0.16998469,0.256661186,0.667573,0.662292156,6.252254
CTAS,0.300885199,0.256098767,1.474456,1.174879531,43.145798
CSCO,0.143390353,0.266735725,0.895538,0.53757461,22.889624
C,0.102389192,0.356314191,1.915217,0.287356481,9.276993
CFG,0.174045543,0.387719097,1.772282,0.448895977,11.836047
CTXS,0.136716897,0.306164498,0.104347,0.446547194,30.688395
CLX,0.163909929,0.196213277,0.186071,0.835366145,25.134083
CME,0.179794665,0.255562944,0.443416,0.703524003,39.65047
CMS,0.171896802,0.197532483,0.17519,0.870220431,20.562395
KO,0.098118412,0.177337341,0.614254,0.553286813,30.481024
CTSH,0.130949062,0.301808955,1.152717,0.43388064,25.836262
CL,0.116111105,0.184733393,,0.628533387,24.88263
CMCSA,0.203206858,0.236583203,1.038084,0.858923436,23.252966
CMA,0.115485896,0.353870462,1.617519,0.326350765,9.010499
CAG,0.130647767,0.241723351,0.821739,0.540484676,13.781894
COP,0.067941457,0.346705359,1.761413,0.195963099,9343.333
ED,0.095793374,0.193449069,0.154891,0.495186537,21.767483
STZ,0.284285199,0.31290962,1.196739,0.908521759,21.727844
COO,0.222945061,0.267342698,0.827529,0.833929871,8.880116
CPRT,0.293338738,0.251711867,1.027173,1.165375084,41.749504
GLW,0.133048069,0.305946344,1.161956,0.434873866,29.687944
CTVA,0.30783346,0.468378899,0.82743,0.657231701,
COST,0.211710145,0.193831992,0.644021,1.092235307,43.943142
CCI,0.180042424,0.227863558,0.369565,0.790132593,92.16706
CSX,0.205505723,0.290882866,1.165471,0.706489612,9.1584015
CMI,0.1407142,0.295424478,1.06964,0.47631192,18.326096
CVS,0.117403786,0.239708419,0.803046,0.48977748,14.667854
DHI,0.251742603,0.360220843,1.644236,0.698856294,11.063065
DHR,0.209943958,0.212326816,0.647442,0.988777402,46.731068
DRI,0.196741297,0.34452937,1.526115,0.571043615,
DVA,0.157964356,0.26871621,1.286265,0.587848259,18.588654
DE,0.177391184,0.273384163,1.041893,0.64887147,24.930365
DAL,0.212743024,0.410167129,1.457065,0.518673995,
XRAY,0.084393144,0.26525213,0.934782,0.318161984,83.9136
DVN,-0.029941046,0.471174935,3.347116,-0.063545499,
DXCM,0.443973863,0.477266497,0.751241,0.930243095,99.04131
FANG,0.265025803,0.511591228,2.745108,0.518042118,
DLR,0.176045432,0.259018786,0.1125,0.679662796,98.693985
DFS,0.240434515,0.352344523,1.832065,0.682384712,13.979535
DISCA,0.085952848,0.32013344,1.381521,0.26849069,25.971352
DISCK,0.084680226,0.312604016,1.381521,0.270886559,24.270369
DISH,0.126002763,0.361392574,2.152173,0.34865897,10.804746
DG,0.231948814,0.255372261,0.526659,0.908277245,21.386284
DLTR,0.177863227,0.290968729,0.866304,0.611279527,16.069242
D,0.11804647,0.20487705,0.358152,0.576182005,77.50518
DPZ,0.37622143,0.289883308,0.480978,1.29783751,42.649944
DOV,0.175938919,0.274073335,1.353804,0.641941031,32.775055
DOW,0.25293557,0.512692123,1.73507,0.493347877,23.483189
DTE,0.158042147,0.212369099,,0.744186172,15.942383
DUK,0.116862832,0.19195104,0.236072,0.608815829,61.146015
DRE,0.190803841,0.26022105,0.525543,0.733237534,52.834892
DD,0.116641377,0.312945847,1.3,0.372720642,17.248909
DXC,0.157538212,0.46448002,2.465723,0.339171127,
EMN,0.158851156,0.305062146,1.509793,0.520717361,31.233028
ETN,0.156758073,0.287938514,1.144565,0.544415092,44.458508
EBAY,0.191627338,0.293204077,1.144565,0.653563006,16.543777
ECL,0.184145062,0.232163232,0.99075,0.793170651,
EIX,0.11212556,0.247578597,0.620239,0.452888746,25.219805
EW,0.245269693,0.325922039,1.086413,0.752540988,83.22461
EA,0.276328095,0.345131958,0.904026,0.800644763,35.58962
EMR,0.102383419,0.273296441,1.545108,0.37462405,28.459803
ENPH,0.727810699,0.858093949,1.144178,0.848171344,149.17387
ETR,0.103418591,0.219456243,0.547878,0.471249256,12.915046
EOG,0.093219542,0.384323585,2.161588,0.242554829,674.62964
EFX,0.21406979,0.25008064,1.416757,0.856003048,44.5394
EQIX,0.275625527,0.275669394,0.290533,0.999840869,215.557
EQR,0.090607297,0.242000621,0.793797,0.374409356,43.886276
ESS,0.132613787,0.241668,,0.548743676,52.962067
EL,0.235222434,0.265619286,0.94124,0.885562331,88.38496
ETSY,0.490193358,0.599827478,1.548913,0.817223911,52.118717
EVRG,0.140300997,0.217162876,0.366847,0.646063451,20.067692
ES,0.15457932,0.211332081,0.309239,0.731452222,23.93729
RE,0.151038508,0.238608294,0.653804,0.632997727,12.069986
EXC,0.070153102,0.237531901,0.432065,0.295341814,42.162163
EXPE,0.230170214,0.423823356,1.770652,0.543080533,
EXPD,0.09778227,0.237997239,0.785326,0.410854641,25.48182
EXR,0.253008203,0.242240599,0.194232,1.04445004,35.70638
XOM,0.009569411,0.243172392,,0.039352375,
FFIV,0.090208595,0.344545742,1.05163,0.261818923,45.99332
FB,0.29780431,0.374266834,1.3,0.795700509,30.528662
FAST,0.182180245,0.275961424,1.246195,0.66016562,36.271523
FRT,0.076540117,0.27208755,1.177366,0.281306942,72.549385
FDX,0.153113552,0.287640112,1.248095,0.532309457,24.649996
FIS,0.208126328,0.240923666,0.854347,0.863868343,596.2
FITB,0.151494198,0.344181766,1.576169,0.440157536,13.332109
FE,0.060433467,0.253841633,0.22826,0.238075474,15.526743
FRC,0.206851929,0.273077489,1.101741,0.757484367,30.462357
FISV,0.232440487,0.231820715,0.891304,1.002673498,90.2116
FLT,0.266244431,0.311126332,1.441784,0.855743805,29.997677
FMC,0.177886929,0.302592086,0.986942,0.587877005,26.485882
F,0.020889681,0.306350662,1.143634,0.068188789,16.296728
FTNT,0.304594678,0.406027042,1.098476,0.750183231,87.989655
FTV,0.167308459,0.281845336,1.20215,0.59361798,15.109171
FBHS,0.268164361,0.321380356,1.648531,0.834414287,18.970417
FOXA,-0.050241546,0.401420206,1.270346,-0.125159485,10.625745
FOX,-0.074955863,0.394224108,1.270346,-0.190135157,9.904649
BEN,0.039894517,0.298619249,1.263873,0.133596601,13.744185
FCX,0.074417951,0.518440421,2.140914,0.143541954,19.937204
GPS,0.113980584,0.438231744,1.682263,0.26009203,25.387293
GRMN,0.209871103,0.269042851,1.053862,0.780065712,28.749084
IT,0.195058922,0.272689046,1.592391,0.715316312,66.81727
GNRC,0.380127845,0.386254879,0.902717,0.984137329,58.85754
GD,0.123687787,0.227413913,1.125136,0.54388839,17.82091
GE,0.029625322,0.320084447,,0.092554706,
GIS,0.102131231,0.190729246,0.560391,0.535477558,14.289877
GM,0.092787821,0.331036917,1.359239,0.280294481,9.175141
GPC,0.127477889,0.247259817,1.128804,0.515562498,347.726
GILD,0.176633513,0.291056474,0.395652,0.606870245,284.5417
GL,0.166266306,0.241190828,1.132752,0.689355843,13.6325035
GPN,0.267584394,0.292359661,1.20163,0.915257574,90.845474
GS,0.103328478,0.293058295,1.485854,0.35258677,9.311938
GWW,0.165246263,0.276000808,1.210869,0.598716592,31.550634
HAL,0.035506809,0.432801425,2.864526,0.082039493,126.87116
HBI,0.171974247,0.369447646,1.526115,0.465490167,
HIG,0.137167729,0.332462348,1.079891,0.412581242,13.570818
HAS,0.142138629,0.298064453,0.975,0.476872124,33.526634
HCA,0.256711233,0.348206506,1.646739,0.737238473,18.547302
PEAK,0.082743568,0.283939537,0.673913,0.291412633,
HSIC,0.131833319,0.242601055,0.861262,0.543416097,26.116
HSY,0.162334131,0.207472971,0.367247,0.782435084,25.996222
HES,0.067793822,0.421566207,2.215995,0.160814175,
HPE,0.133928397,0.369052981,1.240478,0.36289748,29.411764
HLT,0.178906093,0.287822464,1.297282,0.621584886,
HOLX,0.176652734,0.285367762,1.174646,0.619035354,9.61435
HD,0.252459652,0.229741045,1.042981,1.098887893,23.924042
HON,0.193291194,0.235489237,1.17663,0.820806916,35.791485
HRL,0.169166887,0.205951765,-0.076086,0.821390811,28.629631
HST,0.068023088,0.330414054,1.436887,0.20587226,
HWM,0.071114585,0.416922382,1.728709,0.170570322,116.38297
HPQ,0.114763981,0.350608866,1.034276,0.327327663,10.369972
HUM,0.255683868,0.302536841,0.885745,0.845132998,15.127166
HBAN,0.145409517,0.32995639,1.370108,0.440693138,12.329247
HII,0.205134434,0.27769444,1.004891,0.738705585,12.361697
IEX,0.206310806,0.237242691,,0.869619231,44.536346
IDXX,0.305214985,0.274496898,0.885869,1.111906866,87.31567
INFO,0.219636701,0.258355584,0.97334,0.850133361,87.586205
ITW,0.186434718,0.238335852,1.102285,0.782235308,32.52547
ILMN,0.265953885,0.421804358,0.946681,0.630514787,115.82944
INCY,0.268008142,0.452507331,0.802717,0.592273591,35.46538
IR,0.291010595,0.397720022,1.523553,0.731697121,
INTC,0.158109425,0.287037163,0.602717,0.550832595,12.055656
ICE,0.19520635,0.237219871,0.735326,0.82289207,32.00588
IBM,0.043383218,0.227766158,1.225788,0.190472626,23.579794
IP,0.143540491,0.29834207,1.056521,0.481127219,23.55628
IPG,0.163645843,0.32810484,1.044565,0.498760833,31.884583
IFF,0.118685094,0.247227826,0.975516,0.480063655,46.92835
INTU,0.249125106,0.265715692,1.004352,0.937562644,67.18686
ISRG,0.274275245,0.311922288,0.997793,0.87930634,102.00206
IVZ,0.072397386,0.363547687,1.307225,0.199141375,15.945061
IPGP,0.293290705,0.443539241,1.395477,0.661250861,73.454544
IQV,0.227354142,0.274557124,1.457608,0.828075915,117.952385
IRM,0.132288734,0.276073633,0.823721,0.479179169,36.804035
JKHY,0.207509858,0.21341569,0.591304,0.972327096,44.891697
J,0.131132627,0.285329554,0.886956,0.459583051,
JBHT,0.162370789,0.250538696,1.027717,0.648086668,32.829857
SJM,0.105340265,0.214254856,0.322826,0.491658707,16.830553
JNJ,0.137979642,0.173417823,0.711099,0.795648562,30.418655
JCI,0.143289897,0.250340212,1.120239,0.572380664,49.597218
JPM,0.178587048,0.288108495,1.180087,0.619860405,10.126092
JNPR,0.019341867,0.327919199,0.822089,0.058983637,45.241158
KSU,0.204113567,0.30984798,1.099456,0.658753904,40.325253
K,0.070714756,0.195352157,0.645108,0.361986049,17.170732
KEY,0.151689101,0.354924238,1.561413,0.427384451,11.119909
KEYS,0.29730712,0.311887472,0.919021,0.953251242,41.188988
KMB,0.13108932,0.187043372,0.524456,0.700849853,20.35393
KIM,0.081679747,0.32584242,1.522282,0.250672541,9.030482
KMI,0.008490132,0.312021772,1.123913,0.027210063,21.643835
KLAC,0.295096051,0.33377449,1.225,0.88411805,29.235031
KHC,-0.045952173,0.304971135,1.128804,-0.150677123,87.0362
KR,0.155576649,0.256428343,0.354891,0.606706135,21.099014
LB,0.171204334,0.443102442,1.79316,0.386376418,26.69
LHX,0.1981464,0.254525416,0.746466,0.778493572,30.844784
LH,0.116007305,0.251056261,1.045652,0.462076923,11.01175
LRCX,0.297450834,0.361434687,1.275299,0.822972574,26.949516
LW,0.302855383,0.341135831,0.772658,0.887785321,39.04678
LVS,0.131651197,0.360246229,1.49476,0.365447815,
LEG,0.150339456,0.305306317,1.503808,0.4924217,22.549294
LDOS,0.201113305,0.282059696,0.935326,0.713016811,24.408257
LEN,0.216025067,0.371599997,1.493471,0.581337646,9.746038
LLY,0.216560396,0.235523286,0.242391,0.919486133,36.452095
LNC,0.171695055,0.431796101,2.213275,0.397629933,17.67642
LIN,0.146152562,0.215375287,0.797282,0.678594857,55.95013
LYV,0.254818203,0.370410753,1.373913,0.68793414,
LKQ,0.169518027,0.334708178,1.667934,0.506465148,20.356998
LMT,0.217601707,0.211792343,0.984766,1.027429528,14.996974
L,0.051698647,0.24903983,0.930978,0.207591881,
LOW,0.244146156,0.280392822,1.337867,0.87072898,21.01767
LUMN,-0.020336537,0.325684214,1.088043,-0.0624425,
LYB,0.225490465,0.376774942,1.536956,0.598475217,14.179872
MTB,0.105792063,0.288617065,1.191304,0.366548192,11.8012705
MRO,0.023687521,0.491641442,3.225543,0.048180481,
MPC,0.204360032,0.423496908,2.173193,0.482553776,
MKTX,0.392331046,0.320316718,0.375543,1.224822256,59.39625
MAR,0.182836374,0.312763521,1.8875,0.584583436,
MMC,0.187745935,0.200516157,0.904347,0.936313251,33.650288
MLM,0.17579139,0.318684051,0.644236,0.551616529,31.481802
MAS,0.229271793,0.327734967,1.346739,0.699564637,19.963223
MA,0.320472896,0.276172981,1.17519,1.160406402,59.211414
MKC,0.181653718,0.205362703,0.464635,0.884550681,30.179276
MXIM,0.204534175,0.28337254,1.193688,0.721785447,32.757378
MCD,0.151080684,0.195296213,0.622959,0.773597609,26.413103
MCK,0.138162382,0.27849879,0.878672,0.496096885,
MDT,0.162761474,0.225710847,0.807943,0.721106122,49.36466
MRK,0.137250702,0.207068863,0.416757,0.662826369,27.760925
MET,0.100948921,0.325175145,1.341974,0.310444762,10.158451
MTD,0.237201242,0.263990128,1.015778,0.898523152,49.33746
MGM,0.184022853,0.45205672,2.45,0.407079122,
MCHP,0.217601352,0.320207104,1.672282,0.679564413,110.94573
MU,0.339592914,0.480530963,1.250543,0.706703502,27.588905
MSFT,0.263896949,0.257026613,0.787812,1.026730057,38.826656
MAA,0.134913966,0.2339772,0.653971,0.576611596,84.470695
MRNA,1.177321347,0.836264855,1.470843,1.407833105,236.99733
MHK,0.159010256,0.365296311,1.570108,0.435291163,3.9061763
TAP,0.049179776,0.268017157,1.136956,0.183494881,
MDLZ,0.146262369,0.209897539,0.666847,0.696827463,23.96212
MPWR,0.388797885,0.36461335,0.896739,1.066329262,122.11471
MNST,0.292198305,0.336364667,1.101086,0.868695003,34.778763
MCO,0.295191904,0.291730245,1.167391,1.011865956,35.08772
MS,0.175715455,0.361839832,1.541349,0.485616672,12.554611
MOS,-0.019386458,0.406994804,1.853645,-0.047633184,11.605351
MSI,0.202263504,0.245072079,0.762785,0.825322513,38.990074
MSCI,0.296259444,0.296048109,0.959239,1.000713851,76.92784
NDAQ,0.220706724,0.257779496,0.853804,0.856184172,30.3626
NTAP,0.0954157,0.342241738,1.262241,0.278796211,24.640865
NFLX,0.436728674,0.509628042,0.739934,0.856955738,53.62864
NWL,0.109487853,0.356830971,0.951577,0.30683394,17.603128
NEM,0.081201639,0.362248497,0.286724,0.224160045,17.572027
NWSA,0.071320292,0.292879307,1.584239,0.243514276,
NWS,0.070763942,0.289087475,1.572905,0.244783841,
NEE,0.228221218,0.199460993,0.177366,1.144189719,48.6875
NLSN,0.052924667,0.310187261,1.456521,0.170621665,14.596426
NKE,0.235564345,0.26135943,0.853804,0.901304176,78.312294
NI,0.178100109,0.22691775,0.310869,0.784866361,64.67363
NSC,0.195672349,0.277598832,1.297826,0.704874541,28.54628
NTRS,0.113228049,0.27500402,1.109239,0.41173234,20.11945
NOC,0.212440753,0.226928318,0.828804,0.936157968,13.36844
NLOK,0.164188221,0.312508086,1.046195,0.525388712,
NCLH,0.152190675,0.542741292,2.846572,0.280411086,
NOV,-0.043469498,0.427988217,2.309239,-0.101567043,
NRG,0.145435549,0.363282598,0.829347,0.40033723,32.992
NUE,0.094845167,0.295174765,1.398258,0.321318683,19.313032
NVDA,0.450296991,0.423525805,1.378672,1.063210284,23.048464
NVR,0.22231731,0.298171425,1.010869,0.745602332,21.031225
NXPI,0.300249334,0.434404748,1.430434,0.691174154,137.41013
ORLY,0.237065881,0.264764795,1.076116,0.895382939,22.662415
OXY,-0.034447113,0.426873711,2.503264,-0.080696263,
ODFL,0.305193165,0.287485575,1.021195,1.061594706,42.899265
OMC,0.090096137,0.245524194,0.920573,0.366954212,16.146341
OKE,0.185919042,0.414016277,1.959239,0.449062155,20.088907
ORCL,0.118622787,0.254295064,0.781828,0.466476953,19.151648
OGN,,,,,
OTIS,0.602210385,0.407244334,,1.478744662,
PCAR,0.111361775,0.264490678,1.034782,0.421042344,20.435854
PKG,0.236817531,0.281800901,0.905875,0.840371801,27.73966
PH,0.181526594,0.308047673,1.783152,0.589280848,26.476877
PAYX,0.170454973,0.224221358,0.885326,0.760208459,38.97945
PAYC,0.612874408,0.466787403,1.391847,1.312962612,160.64256
PYPL,0.395979904,0.342345958,1.157065,1.156665923,62.791706
PENN,0.374676099,0.515122996,2.575543,0.727352694,327.177
PNR,0.138442294,0.287006438,1.137649,0.482366509,29.753633
PBCT,0.075735851,0.277195232,1.209782,0.273222054,30.367504
PEP,0.127227894,0.176856772,0.614798,0.719383784,29.054054
PKI,0.211286728,0.257424266,1.106637,0.820772381,19.053743
PRGO,0.032429292,0.342163644,1.18913,0.094777141,
PFE,0.137322776,0.204453177,0.673369,0.671658802,21.686932
PM,0.105460355,0.220555528,0.856365,0.478157843,17.652557
PSX,0.169779188,0.337261441,1.678998,0.503405274,
PNW,0.125752413,0.208837054,0.299782,0.602155654,16.988613
PXD,0.123116131,0.424732402,1.943416,0.289867527,
PNC,0.154461413,0.278263529,1.371599,0.555090397,13.830465
POOL,0.331339471,0.269609866,0.787812,1.228958997,36.405334
PPG,0.172753715,0.251847847,1.1375,0.685944779,32.612686
PPL,0.087185784,0.218299886,0.773369,0.399385387,
PFG,0.130033884,0.330829858,1.647282,0.393053652,10.566326
PG,0.12349814,0.175191105,0.411956,0.70493385,26.150026
PGR,0.217371035,0.216329117,0.464635,1.004816356,8.652482
PLD,0.181693351,0.264896026,0.750543,0.685904404,70.54545
PRU,0.120246538,0.336425634,1.678454,0.357423829,14.902659
PTC,0.224620702,0.337664844,1.219804,0.665217911,67.4216
PEG,0.121947717,0.211262171,0.560391,0.57723404,14.959135
PSA,0.139385578,0.212955008,0.103804,0.654530644,46.57624
PHM,0.268270387,0.405958565,1.455434,0.660831942,9.845684
PVH,0.129052059,0.420283155,2.375543,0.307059794,122.793434
QRVO,0.241314233,0.444060361,1.388043,0.543426647,29.998417
PWR,0.182944312,0.322919167,1.250272,0.566532839,26.43979
QCOM,0.190446295,0.317168571,1.341304,0.600457651,21.452099
DGX,0.125647577,0.235725903,1.033188,0.533024056,10.758725
RL,0.072657669,0.356842634,1.530978,0.203612636,
RJF,0.171409263,0.315329233,1.239934,0.54358824,17.293976
RTX,0.094304006,0.259161718,1.061956,0.363880925,
O,0.140474039,0.260202189,0.747551,0.539864941,72.76398
REG,0.087367307,0.294863183,1.128804,0.296297781,74.58382
REGN,0.349541147,0.403096531,0.19076,0.867140053,16.357607
RF,0.177300379,0.377117835,1.566847,0.470145835,12.656147
RSG,0.160585327,0.189835384,0.710554,0.845918837,37.220123
RMD,0.240451387,0.296779222,0.284239,0.810202901,86.86481
RHI,0.139305052,0.311197422,1.575543,0.44764205,34.006233
ROK,0.192474734,0.300619432,1.353804,0.640260455,22.657724
ROL,0.234471618,0.241784133,0.510326,0.969756016,60.841274
ROP,0.206526399,0.233530696,1.030467,0.884365108,52.0984
ROST,0.25559171,0.286105216,1.04076,0.893348657,50.262188
RCL,0.178825905,0.477611945,2.848369,0.374416735,
SPGI,0.274003292,0.260884033,0.967934,1.050287703,42.20516
CRM,0.253202722,0.353531598,1.091304,0.716209592,55.235157
SBAC,0.223626274,0.2425066,0.197282,0.922145107,276.10526
SLB,-0.044234076,0.355540813,2.416213,-0.124413498,
STX,0.27593431,0.409843037,1.174456,0.673268265,22.213799
SEE,0.124484238,0.309475309,1.263586,0.402242875,17.618752
SRE,0.145280902,0.223598957,0.657236,0.649738731,9.940653
NOW,0.44887715,0.407016253,0.934782,1.102848219,773.5395
SHW,0.258983563,0.245749312,1.078804,1.053852646,37.620216
SPG,0.089796284,0.344399666,1.557671,0.260732785,35.599323
SWKS,0.266895666,0.423166439,1.075,0.630710854,25.54125
SNA,0.166246628,0.265869761,1.288586,0.625293478,17.501406
SO,0.113302413,0.199360602,0.43913,0.568329007,20.084906
LUV,0.189953678,0.329678333,1.254347,0.576178836,
SWK,0.168916311,0.313099127,1.442391,0.539497866,20.01727
SBUX,0.240741247,0.261627537,0.875543,0.920167845,143.0271
STT,0.115618739,0.31160691,1.597826,0.371040356,14.355848
STE,0.209811708,0.242017252,0.55326,0.866928728,47.073433
SYK,0.195311081,0.242961115,,0.803877943,73.425476
SIVB,0.270825269,0.378445199,2.06576,0.715626119,18.100912
SYF,0.155842839,0.381809038,1.836413,0.408169592,13.215289
SNPS,0.254698401,0.235595942,1.034239,1.081081441,56.05099
SYY,0.160985727,0.27695219,1.42383,0.581276239,
TMUS,0.259654854,0.380175502,0.572282,0.682986812,54.408764
TROW,0.152451857,0.274330969,1.183121,0.555722372,17.336956
TTWO,0.346056979,0.354457052,0.563043,0.976301577,34.070724
TPR,0.055126293,0.404990694,1.560326,0.13611743,34.958675
TGT,0.169574375,0.258257447,1.003804,0.656609818,21.313683
TEL,0.178908889,0.263939267,1.34494,0.67784112,45.529484
TDY,0.25659802,0.272166347,1.121871,0.942798486,47.435307
TFX,0.245699266,0.246735398,1.188792,0.995800633,67.45248
TER,0.283428306,0.353937719,1.279347,0.800785817,28.876764
TSLA,0.64174781,0.553537334,1.987486,1.159357771,362.2562
TXN,0.223781251,0.268203458,1.028835,0.834371238,26.582066
TXT,0.136519199,0.353855974,1.793253,0.385804419,36.726986
TMO,0.246741101,0.241860559,0.761697,1.020179155,25.010885
TJX,0.226928147,0.254462219,0.984782,0.891795049,55.67152
TSCO,0.230325477,0.294055637,1.035869,0.783271762,25.059557
